,EMOTION,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
13,Joy,0.39723927,0.39477783,0.36229232,0.37670618,0.37578583,0.40851104,0.406623,0.40498596,0.4417333,0.45382065,0.4977431,0.47626057,-353.6546,114.22022,-31.529348,32.268456,-6.6493616,-10.008862,-12.838124,0.5423926,3.160375,0.95224065,-0.1252454,4.4968615,-2.2176952,1.4471468,4.1381793,-7.18819,2.9381936,-5.2281833,1.5352391,0.9655451
14,Surprise,0.43489727,0.4728205,0.43392974,0.41094625,0.33901474,0.3008324,0.2983086,0.26549622,0.26911762,0.3481995,0.48246554,0.5460797,-357.77707,139.75584,-10.293244,33.432697,-1.6890931,-12.491401,-0.8392322,-7.150474,-11.722103,1.1467675,0.08816349,0.9685765,2.1421018,-0.30753288,-0.677184,-4.2478805,0.3680165,-6.6573634,-1.4058923,-3.8870592
15,Surprise,0.452473,0.4413635,0.34463903,0.30504462,0.27232993,0.27400166,0.2330197,0.21523602,0.3120087,0.4291036,0.47183028,0.42186412,-308.72357,140.5324,-19.946314,41.773987,-3.1296701,-5.279272,-4.3815737,-7.7023506,-16.05269,0.5509337,1.0172207,-0.83431876,2.598821,-0.53618705,0.85589236,-6.718283,-0.33790573,-8.14693,-2.146013,-4.8849072
16,Joy,0.5396254,0.47009403,0.34087682,0.3803649,0.382188,0.37502673,0.4865357,0.36761925,0.2854129,0.36758852,0.49851516,0.7202159,-370.50534,155.92262,-30.031174,25.254015,-29.22325,6.3188133,2.8077443,1.100598,-12.015404,12.272738,7.418215,-3.9725075,12.95462,3.5843124,3.2790935,-8.907636,-1.0098414,-10.903621,-4.7397833,-1.0986818
17,Joy,0.57727593,0.4901274,0.40735444,0.37726685,0.36684322,0.38471955,0.3678842,0.38802898,0.490341,0.55254585,0.5325902,0.5746616,-402.7916,104.27935,-20.301876,25.852789,1.476742,-9.316545,-13.040415,3.958683,10.049934,-1.5588872,-2.7982745,6.0701575,0.25838074,2.3257189,1.3993059,-2.775335,3.9236362,-2.0722163,3.9571006,0.13278764
18,Joy,0.37075678,0.3410169,0.30403543,0.29431766,0.2742761,0.32532427,0.37480128,0.4207734,0.46972567,0.38801703,0.3750807,0.3998235,-340.29095,112.79528,-4.7905574,13.897509,-13.791359,-5.776967,-7.3239574,-3.9172266,-3.4065926,-0.22549063,0.4711417,2.603576,-3.9593005,1.5653148,2.196339,-6.06793,5.2680674,-1.1381749,2.212066,-0.58327675
19,Surprise,0.45697016,0.43535224,0.31468406,0.26283553,0.25561088,0.25468352,0.29110587,0.3095451,0.47903955,0.5514185,0.52031904,0.47189662,-453.0057,130.7113,-8.57331,32.599007,-22.185411,3.9436488,-9.465461,4.656719,1.289754,-3.2192636,2.0626202,3.5428064,-4.123602,-3.0181823,1.1472478,-5.966551,9.605423,-7.5191216,-0.3107664,-1.9722784
20,Joy,0.28257516,0.2883265,0.25741276,0.28209212,0.24391434,0.2260743,0.215735,0.2281363,0.34709945,0.36530796,0.35951754,0.31765956,-331.2397,119.51378,-22.574226,31.483578,-13.173781,-16.475357,-14.507644,-2.3958838,-1.2214117,-2.73423,-0.4058757,4.7301326,-7.2991147,3.590542,2.33401,-11.195094,4.0673375,-8.657784,-0.7132132,-2.2730732
21,Joy,0.22688258,0.25815234,0.2959506,0.30761173,0.2663702,0.2449294,0.18513042,0.2480867,0.3548704,0.34332246,0.34763446,0.30142993,-341.57916,112.87051,-12.244964,26.0946,-20.033846,-15.46672,-4.6277714,-5.5000553,-7.0164943,-0.6439357,-0.87297094,5.6571984,-7.252514,-0.81086147,4.5486326,-8.3660755,2.8571913,-6.8472714,-2.6479375,-4.806522
22,Joy,0.34059677,0.2890833,0.24684568,0.21461572,0.24023136,0.27938375,0.2612728,0.24795616,0.24405831,0.2752704,0.2933599,0.27787596,-321.5782,121.79572,-27.563921,20.990038,-16.23795,-17.890581,-11.177377,-4.9547696,-3.7720225,0.25182408,-2.603342,3.2136767,-2.3942096,2.1269295,2.177944,-8.250044,5.804513,-2.347313,1.6693664,0.9559451
23,Joy,0.39580944,0.3935861,0.38738823,0.3921072,0.3334166,0.35133126,0.3567521,0.33413136,0.37639904,0.3914837,0.43949166,0.421768,-343.46875,111.510635,-27.922112,32.280407,-5.9069905,-14.910691,-13.567938,-1.9804239,-0.07637602,-3.02261,-0.574144,7.736207,-2.6249602,0.7433836,4.6275363,-5.60946,4.799255,-2.7061718,-0.36046496,-1.8995897
24,Joy,0.44733843,0.47893512,0.4063957,0.3771223,0.3418422,0.33102915,0.33583817,0.25970545,0.28226194,0.37395456,0.4858824,0.44529328,-299.86105,124.4212,-18.402796,37.062134,-6.468708,2.5136745,-7.304381,-5.140063,-12.607173,-0.4205737,-2.1175756,-2.1848073,7.477328,-2.976517,-0.70252496,-1.997952,-1.734079,-8.736724,1.0761071,-4.9366174
25,Joy,0.41270328,0.42579445,0.40075904,0.40044996,0.40362382,0.32338083,0.21540865,0.18682063,0.264044,0.3764161,0.49315742,0.44501713,-260.0013,142.10669,-5.7998347,25.071253,-2.966808,-4.811651,0.18587536,-6.220111,-13.625122,-0.8221236,-0.010977866,-0.0353929,9.406101,-0.25594372,-4.4470687,-1.6307456,-3.8809233,-9.37764,-2.0266838,-6.2862606
26,Joy,0.3909409,0.5839221,0.44045624,0.30005106,0.26698166,0.28271696,0.24892436,0.25502223,0.42635205,0.6173449,0.5839411,0.37432942,-366.51352,129.26143,-15.606137,47.345543,2.9557078,12.361359,-14.4942875,-6.782574,-10.2977705,-0.92752177,-0.4170902,0.56029123,8.034674,-3.7855392,0.7429159,-2.9035046,0.56067914,-7.8443494,-0.3451681,-7.1553826
27,Joy,0.4684277,0.5785383,0.52824956,0.4381337,0.37463027,0.3852406,0.35845247,0.3547786,0.41374165,0.40672204,0.45213875,0.4152595,-325.0649,111.67036,-3.9127486,31.816122,5.4290924,3.3295665,-1.1985964,-10.830364,-8.012972,2.1163988,1.5782605,3.4627397,6.9075584,0.32334405,-0.5272143,0.26975226,-0.9260034,-5.3086777,0.9692514,-4.4074774
28,Joy,0.5104935,0.5116148,0.42004555,0.43501678,0.4422465,0.5179634,0.4353619,0.32843027,0.33300385,0.35756886,0.4804124,0.5017792,-366.04343,116.22431,-4.0886097,15.797333,-3.779669,2.4937003,11.846951,-3.1611009,-3.9661245,4.0421896,4.0300665,7.0099983,6.1702485,1.3645256,-0.6757063,0.2709259,-0.050281685,-5.5391197,-0.79275405,-4.2559466
29,Joy,0.5263292,0.5430909,0.53887707,0.45406115,0.4110095,0.41094437,0.3841371,0.3383982,0.3478657,0.44236183,0.49633342,0.57152206,-376.1734,122.958206,-16.417694,42.035873,4.004337,7.577324,-5.7953367,-4.260728,-3.1388113,2.2141435,1.489149,2.3216226,9.364305,1.2234846,2.883331,0.513854,1.4599495,-4.907383,-0.62756044,-4.417497
30,Joy,0.4505754,0.4824994,0.34614682,0.27760315,0.27322894,0.26525566,0.25178248,0.22913603,0.3311809,0.46719792,0.5479368,0.44414487,-347.16107,135.22104,-18.968939,51.31623,-0.5380101,0.22509085,-11.05876,-6.38379,-9.046022,0.44775975,-1.9028974,-0.32943925,6.304739,-2.7074776,0.71723294,-3.734946,0.39275822,-7.6737294,0.46651822,-4.020452
31,Joy,0.4028518,0.41527218,0.35846975,0.28340012,0.24243276,0.23481733,0.3181022,0.4075514,0.432383,0.4153154,0.42829517,0.41240472,-399.3968,126.12885,-5.3614044,18.935604,-15.963335,-5.134988,-5.930322,-3.7275183,0.49541026,-2.335109,-0.6666631,4.548622,-6.239914,3.7915235,1.3907526,-9.721528,5.2231317,-8.067869,0.14316328,-1.5599097
32,Joy,0.4682524,0.39919466,0.3068364,0.33825886,0.35782346,0.36942542,0.3709216,0.33677635,0.38603643,0.43864486,0.4846997,0.45438647,-352.72568,109.14454,-11.858891,24.917818,-9.936353,-4.6071444,-14.070819,-1.1398431,1.6525205,-2.1902559,1.7061726,5.4425106,-5.299294,2.079215,3.6058195,-7.702662,3.5879683,-4.75924,1.1159317,-1.4966828
33,Anger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1131.371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Joy,0.44882226,0.42250687,0.37845722,0.31044593,0.3198221,0.39763853,0.48288098,0.46729645,0.45349523,0.38576803,0.37215498,0.4143592,-406.04443,111.07989,-17.768576,21.980362,-5.7762575,-3.1414092,-11.001274,-1.0186809,7.5904636,3.1731308,1.202442,3.0935433,-2.6186407,1.2567912,0.6383608,-5.8353596,3.1800575,-2.4649084,4.7985873,2.331058
35,Joy,0.50950694,0.42580485,0.37541395,0.3727062,0.45271382,0.5352617,0.52614415,0.5030743,0.51602465,0.47235096,0.50763446,0.5200842,-396.1682,98.78275,-21.328691,18.212278,-0.40785024,2.7363253,-7.792609,-1.0127174,12.617058,6.734004,1.6482028,6.738772,-2.273223,2.118218,3.098161,-4.9629374,5.2800145,-2.1884108,4.7473407,4.399445
36,Joy,0.51090467,0.68347114,0.59601545,0.47556454,0.43099338,0.4054476,0.4012232,0.34268394,0.30430558,0.36257744,0.4265918,0.4225219,-319.7517,126.75985,-1.9754674,13.270327,4.464481,8.174535,8.976035,-5.0982265,-4.555747,12.011515,9.373106,4.1554565,8.216455,3.010002,-1.4241011,-1.0074714,-0.9121855,-6.0541086,-3.151393,-4.1493683
37,Joy,0.4527478,0.50877714,0.47660613,0.43914324,0.38235345,0.34729677,0.35760233,0.3106476,0.3117352,0.3488741,0.43406337,0.44478813,-298.3573,135.92857,-17.209177,34.785347,-0.2349817,0.12292001,-1.2044014,-7.6581492,-11.738796,-0.064899325,-5.0883975,-3.016638,7.7589674,-2.2054045,-0.9976174,0.71183974,-2.3905103,-7.821552,2.7291586,-4.422701
38,Joy,0.56038475,0.5584627,0.5097884,0.43312302,0.40897518,0.39802617,0.37424478,0.32794893,0.31890777,0.3901775,0.52250963,0.6158448,-366.87024,115.25083,-5.2257977,39.062584,-2.3779724,9.9595,-2.0012639,-2.901908,-7.6546464,1.0939603,-1.3279282,1.3661041,8.123619,0.2578823,1.7186347,-2.4796815,1.9485936,-3.8688436,1.5119289,-5.349014
39,Joy,0.49068397,0.5163182,0.4596146,0.35135585,0.29372627,0.3018769,0.30221486,0.27703828,0.26625583,0.31722936,0.4313807,0.5118331,-282.06757,133.68211,-23.059683,34.43525,3.096025,-4.8153443,0.4934542,-12.899782,-19.50338,-0.9637936,-4.376107,-3.2854254,7.2173505,-1.7109975,-1.1723315,0.66022414,-1.2811118,-6.930433,0.07003204,-5.1117725
40,Joy,0.46602806,0.4838044,0.3546873,0.3007884,0.29346654,0.34602925,0.3414254,0.2711512,0.32293072,0.41056982,0.5137536,0.50702775,-303.8874,110.11618,-8.276742,38.047245,4.1463985,3.186468,-5.7119565,-10.230598,-12.006247,-1.9409767,-1.1054664,0.594352,8.18058,1.7892729,-0.25714812,-1.8760582,0.5484304,-3.6923606,0.9600527,-5.8619447
41,Joy,0.49369797,0.47003448,0.39797232,0.38861626,0.338273,0.27487952,0.2504159,0.19822429,0.24551082,0.35055867,0.46849507,0.4831948,-292.66302,136.64737,-2.3622572,25.801615,-3.7517717,-7.5647607,2.5853183,-6.9600434,-10.422824,1.5236713,-4.2024245,-2.655175,8.92236,0.57052284,-1.9266762,-0.26837906,-5.456914,-6.7896566,-0.673349,-7.20363
42,Joy,0.48358235,0.5233295,0.43876687,0.44390494,0.44130653,0.42492554,0.36973238,0.30860364,0.33574033,0.42106748,0.5373377,0.49728036,-316.6539,121.753525,-12.499881,41.40733,-10.242235,4.7770953,-4.1600847,-5.2384458,-16.114592,-0.79197615,-1.2095506,-1.5583794,10.643889,-0.16765395,0.76005405,-4.034706,-1.8200269,-4.0359573,2.5146742,-7.133994
43,Joy,0.48699287,0.3773516,0.316408,0.35118535,0.32730335,0.30435988,0.2948977,0.27499336,0.38111028,0.48279747,0.49137044,0.5774218,-380.43127,118.01836,-30.08342,29.649681,1.979064,-3.5442324,-13.059401,8.83883,3.2373433,-1.0890357,-2.15556,-0.5869429,6.6990066,6.655375,7.182106,-5.8684034,1.3953385,0.87020856,1.5825447,-3.7523437
44,Joy,0.6107904,0.6869093,0.66610694,0.5845317,0.51838887,0.5016058,0.5378792,0.45821062,0.46741548,0.46851867,0.55291677,0.64452606,-353.01526,99.733154,-6.9222326,35.35643,-0.6242046,7.898678,0.40622538,-5.950512,7.839458,-0.02378383,1.4913847,11.488948,4.045578,7.0338125,3.8966024,-3.3009639,4.044027,-0.51964873,0.67683864,-4.161293
45,Joy,0.52548474,0.5217094,0.47286454,0.4114639,0.36287642,0.48552415,0.56426543,0.48018938,0.42771754,0.3998458,0.44215918,0.54388326,-422.18527,112.211464,-18.706934,26.936708,-0.64663124,-2.126652,-6.2147727,3.9551632,3.0528371,2.7721384,0.8140208,-1.0610818,4.9141665,3.469188,3.4416611,-4.4972763,1.7050122,2.0328815,1.2738183,1.1949655
46,Joy,0.49506143,0.5512495,0.49696258,0.42862168,0.43940192,0.4719516,0.49718368,0.48373023,0.49124998,0.54907435,0.5618199,0.5842295,-316.14322,130.21141,-27.938908,50.905422,-7.4139066,19.280804,-11.362408,-19.9597,1.3361912,8.163741,6.223047,0.9260971,2.04319,3.702144,10.824266,2.0387394,0.8837845,-0.5039831,2.270909,-5.0738077
47,Joy,0.43478397,0.39500263,0.36121896,0.30911878,0.37365362,0.42539653,0.4109242,0.43671665,0.42866516,0.374437,0.41487625,0.40818048,-420.72974,132.24861,-15.8407135,33.810207,-11.740631,9.229291,-17.575754,5.1572995,-7.743586,-1.4986614,3.4716136,-4.947786,1.7807345,-0.09166636,8.166519,-2.626181,2.2974403,-4.6221657,2.9144268,-2.7218466
48,Joy,0.39841932,0.39796048,0.28504205,0.23770419,0.31444892,0.30327144,0.2574761,0.31023213,0.3100754,0.28681603,0.2709282,0.33699057,-307.49698,113.38608,-28.695879,30.982655,-10.675951,-2.2659895,-20.075697,-0.17089416,-14.286885,-7.2321725,-0.4440586,-2.5937524,-3.5937614,-10.082674,2.4211307,-2.480103,-1.5345466,-6.9777503,4.1124234,-6.888964
49,Joy,0.29336038,0.22409217,0.2808139,0.2451904,0.38693896,0.34688553,0.29386592,0.28433257,0.24797665,0.2280713,0.41474652,0.39626256,-288.32318,112.367935,-34.310886,34.12008,-2.7884395,-0.67951024,-28.399189,-3.7464638,-13.967736,-9.9627495,-1.5896443,-3.9266171,1.7602711,-6.302275,1.1212769,3.2472332,2.9618907,-4.6247725,9.359699,-3.0034337
50,Joy,0.2971028,0.29457766,0.2197982,0.13657872,0.18777521,0.27632758,0.30044186,0.4950837,0.51012456,0.22908005,0.1950467,0.28881273,-334.13858,123.47323,-28.516333,39.58184,-6.0339494,-12.330188,-16.08169,-5.460505,-6.215045,-13.087722,-8.211949,-0.08997041,-3.2773209,-5.1864524,1.238806,-0.39519957,3.3846176,-0.9977501,7.344655,-4.327294
51,Joy,0.48836216,0.434213,0.37499556,0.3200976,0.3215213,0.38707438,0.40032694,0.38165995,0.424996,0.44283557,0.45194554,0.50932485,-374.9325,115.46644,-19.482754,22.994612,-6.2007523,-3.5155602,-8.751999,4.7369094,-2.4961567,-0.049224317,-1.257451,-3.1956892,5.278665,-3.5850778,1.730207,-1.8118817,-0.14160532,0.30010787,2.7756915,0.2086428
52,Joy,0.5651906,0.48336098,0.4088438,0.37818196,0.318043,0.2714459,0.30179718,0.30712795,0.29200238,0.37023905,0.5400855,0.6103861,-284.35287,143.39798,-34.21069,65.40911,-7.541876,6.013065,-18.397823,-13.3920555,1.5231189,-1.1672778,-5.7320104,7.8837004,2.6288743,-5.1352897,9.851335,-5.3876123,0.30173865,-3.968796,0.41388234,-6.526617
53,Surprise,0.47688365,0.44163105,0.3710962,0.3619907,0.32910395,0.32053027,0.349189,0.3283058,0.278124,0.34910166,0.45550597,0.48570657,-264.6667,130.72084,-23.867575,61.523342,-11.395563,1.9886948,-8.444445,-14.572437,-8.450513,-2.589115,-2.5827997,3.568897,-0.5848213,-4.7059274,6.2740393,-4.208228,0.5050042,-4.9631133,0.8086405,-4.5767627
54,Joy,0.41678977,0.36722693,0.38583127,0.41417807,0.37162116,0.3316104,0.33061814,0.3115356,0.3367737,0.38697237,0.46724388,0.44750276,-269.3333,136.32222,-21.127134,45.56453,-14.322194,1.740064,-8.264537,-12.914587,-8.742244,1.2825171,-3.2689655,1.6560783,2.1174295,-3.2806635,4.6757693,-4.196192,1.5388515,-5.197399,1.3563507,-3.310658
55,Surprise,0.6874479,0.74094284,0.6681326,0.6518909,0.65590876,0.5464947,0.48672768,0.49827668,0.3896437,0.37651572,0.4446648,0.5211434,-404.28738,113.98891,-1.3233682,33.972492,-6.4068604,12.10496,1.8430958,-5.7994604,-3.027926,5.1896043,6.2187138,9.822938,5.168579,-0.16325538,9.948523,2.7101347,1.170335,-2.515001,3.3370163,-1.97418
56,Joy,0.3308407,0.37338576,0.5228239,0.63364905,0.5052143,0.36077726,0.30896145,0.27715927,0.3298838,0.3616077,0.42174014,0.37813348,-261.10822,134.52626,-34.62244,34.3541,-21.373713,5.2344303,1.779642,-18.127808,-7.338001,6.1066647,-0.23879741,8.967459,6.6869917,-3.08362,1.4402002,-3.9023006,2.7937849,-3.8201513,0.30935168,-3.3140595
